ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
12670,BIOL,4900,008,Independent Study,"1 - 3","Fred Diehl","TBA","TBA","Independent Readings in Biology","",Open,3,30,0
12671,BIOL,4900,010,Independent Study,"1 - 3","Laura Galloway","TBA","TBA","Independent Readings in Biology","",Open,0,30,0
12672,BIOL,4900,011,Independent Study,"1 - 3","Robert Grainger","TBA","TBA","Independent Readings in Biology","",Open,0,30,0
12673,BIOL,4900,013,Independent Study,"1 - 3","Jay Hirsh","TBA","TBA","Independent Readings in Biology","",Open,0,30,0
12674,BIOL,4900,014,Independent Study,"1 - 3","Masashi Kawasaki","TBA","TBA","Independent Readings in Biology","",Open,0,30,0
12675,BIOL,4900,015,Independent Study,"1 - 3","Raymond Keller","TBA","TBA","Independent Readings in Biology","",Open,0,30,0
12676,BIOL,4900,016,Independent Study,"1 - 3","Mark Kopeny","TBA","TBA","Independent Readings in Biology","",Open,0,30,0
12677,BIOL,4900,017,Independent Study,"1 - 3","Keith Kozminski","TBA","TBA","Independent Readings in Biology","",Open,0,30,0
12678,BIOL,4900,019,Independent Study,"1 - 3","Sarah Kucenas","TBA","TBA","Independent Readings in Biology","",Open,0,30,0
12679,BIOL,4900,021,Independent Study,"1 - 3","Deforest Mellon","TBA","TBA","Independent Readings in Biology","",Open,0,30,0
12680,BIOL,4900,022,Independent Study,"1 - 3","Michael Menaker","TBA","TBA","Independent Readings in Biology","",Open,0,30,0
12659,BIOL,4900,023,Independent Study,"1 - 3","Ignacio Provencio","TBA","TBA","Independent Readings in Biology","",Open,0,30,0
12681,BIOL,4900,024,Independent Study,"1 - 3","Deborah Roach","TBA","TBA","Independent Readings in Biology","",Open,0,30,0
12946,BIOL,4900,025,Independent Study,"1 - 3","Dorothy Schafer","TBA","TBA","Independent Readings in Biology","",Open,0,30,0
12660,BIOL,4900,026,Independent Study,"1 - 3","Douglas Taylor","TBA","TBA","Independent Readings in Biology","",Open,0,30,0
12661,BIOL,4900,027,Independent Study,"1 - 3","Michael Timko","TBA","TBA","Independent Readings in Biology","",Open,0,30,0
12662,BIOL,4900,030,Independent Study,"1 - 3","Jennifer Guler","TBA","TBA","Independent Readings in Biology","",Open,0,30,0
12663,BIOL,4900,031,Independent Study,"1 - 3","Martin Wu","TBA","TBA","Independent Readings in Biology","",Open,0,30,0
14721,BIOL,4900,032,Independent Study,"1 - 3","W Wormington","TBA","TBA","Independent Readings in Biology","",Open,0,30,0
14079,BIOL,4910,001,Independent Study,"2","Martin Wu","TBA","TBA","Independent Research in the Life Sciences","",Open,98,100,0
14080,BIOL,4920,001,Independent Study,"2","Paul Adler","TBA","TBA","Independent Research in Biology","",Open,1,100,0
20500,BIOL,4920,002,Independent Study,"2","Janis Antonovics","TBA","TBA","Independent Research in Biology","",Open,1,100,0
20501,BIOL,4920,003,Independent Study,"2","Alan Bergland","TBA","TBA","Independent Research in Biology","",Open,6,100,0
20502,BIOL,4920,004,Independent Study,"2","George Bloom","TBA","TBA","Independent Research in Biology","",Open,0,100,0
20503,BIOL,4920,005,Independent Study,"2","Edmund Brodie","TBA","TBA","Independent Research in Biology","",Open,2,100,0
20504,BIOL,4920,006,Independent Study,"2","Robert Cox","TBA","TBA","Independent Research in Biology","",Open,2,100,0
20505,BIOL,4920,007,Independent Study,"2","Christopher Deppmann","TBA","TBA","Independent Research in Biology","",Open,4,100,0
20506,BIOL,4920,008,Independent Study,"2","Ali Guler","TBA","TBA","Independent Research in Biology","",Open,1,100,0
20507,BIOL,4920,009,Independent Study,"2","Jennifer Guler","TBA","TBA","Independent Research in Biology","",Open,0,100,0
20508,BIOL,4920,010,Independent Study,"2","Keith Kozminski","TBA","TBA","Independent Research in Biology","",Open,1,100,0
20509,BIOL,4920,011,Independent Study,"2","Sarah Kucenas","TBA","TBA","Independent Research in Biology","",Open,4,100,0
20511,BIOL,4920,012,Independent Study,"2","Raymond Keller","TBA","TBA","Independent Research in Biology","",Open,5,100,0
20512,BIOL,4920,013,Independent Study,"2","Eyleen O'Rourke","TBA","TBA","Independent Research in Biology","",Open,3,100,0
20513,BIOL,4920,014,Independent Study,"2","Ignacio Provencio","TBA","TBA","Independent Research in Biology","",Open,0,100,0
20514,BIOL,4920,015,Independent Study,"2","Dorothy Schafer","TBA","TBA","Independent Research in Biology","",Open,0,100,0
20516,BIOL,4920,016,Independent Study,"2","Sarah Siegrist","TBA","TBA","Independent Research in Biology","",Open,1,100,0
20517,BIOL,4920,017,Independent Study,"2","Anthony Spano","TBA","TBA","Independent Research in Biology","",Open,3,100,0
20518,BIOL,4920,018,Independent Study,"2","Michael Timko","TBA","TBA","Independent Research in Biology","",Open,5,100,0
20519,BIOL,4920,019,Independent Study,"2","Masashi Kawasaki","TBA","TBA","Independent Research in Biology","",Open,0,100,0
20520,BIOL,4920,020,Independent Study,"2","Barry Condron","TBA","TBA","Independent Research in Biology","",Open,4,100,0
20521,BIOL,4920,021,Independent Study,"2","David Parichy","TBA","TBA","Independent Research in Biology","",Open,9,100,0
20522,BIOL,4920,022,Independent Study,"2","W Wormington","TBA","TBA","Independent Research in Biology","",Open,0,100,0
20523,BIOL,4920,023,Independent Study,"2","Ammasi Periasamy","TBA","TBA","Independent Research in Biology","",Open,0,100,0
20524,BIOL,4920,024,Independent Study,"2","Jianhua Cang","TBA","TBA","Independent Research in Biology","",Open,0,100,0
20525,BIOL,4920,025,Independent Study,"2","Xiaorong Liu","TBA","TBA","Independent Research in Biology","",Open,1,100,0
21757,BIOL,4920,026,Independent Study,"2","Cristian Danna","TBA","TBA","Independent Research in Biology","",Open,1,100,0
21914,BIOL,4920,027,Independent Study,"2","Robert Grainger","TBA","TBA","Independent Research in Biology","",Open,3,30,0
21952,BIOL,4920,028,Independent Study,"2","Jay Hirsh","TBA","TBA","Independent Research in Biology","",Open,2,30,0
22094,BIOL,4920,029,Independent Study,"2","Tracy Larson","TBA","TBA","Independent Research in Biology","",Open,2,30,0
22132,BIOL,4920,030,Independent Study,"2","Douglas Taylor","TBA","TBA","Independent Research in Biology","",Open,0,30,0
15935,BIOL,4930,001,Practicum,"2","Sarah Kucenas","TBA","TBA","Distinguished Major Thesis Research","",Open,1,5,0
15936,BIOL,4930,002,Practicum,"2","Sara Rasmussen,Sarah Kucenas","TBA","TBA","Distinguished Major Thesis Research","",Open,1,5,0
15937,BIOL,4930,003,Practicum,"2","Christopher Deppmann","TBA","TBA","Distinguished Major Thesis Research","",Open,1,5,0
15938,BIOL,4930,004,Practicum,"2","W Wormington","TBA","TBA","Distinguished Major Thesis Research","",Open,1,5,0
15939,BIOL,4930,005,Practicum,"2","Robert Cox","TBA","TBA","Distinguished Major Thesis Research","",Open,2,5,0
15940,BIOL,4930,006,Practicum,"2","Loren Erickson,Sarah Kucenas","TBA","TBA","Distinguished Major Thesis Research","",Open,1,5,0
15941,BIOL,4930,007,Practicum,"2","Alan Bergland","TBA","TBA","Distinguished Major Thesis Research","",Open,1,5,0
21805,BIOL,4930,008,Practicum,"2","Michael Guertin,Sarah Kucenas","TBA","TBA","Distinguished Major Thesis Research","",Open,1,30,0
21759,BIOL,7110,002,Seminar,"1","Hannah Sturtevant","Fr 10:00AM - 10:50AM","Dell 2 100","Teaching Science in Higher Education","",Closed,11,10,0
14630,BIOL,7230,001,Lecture,"4","William Pearson","TuTh 9:30AM - 10:45AM","Ruffner Hall 175","Bioinformatics and Functional Genomics","",Open,7,12,0
14081,BIOL,7320,001,Lecture,"3","Christopher Deppmann","MoWe 5:00PM - 6:15PM","Ruffner Hall G004","Signal Transduction: How cells talk to each other","",Open,7,10,0
11683,BIOL,7993,001,Independent Study,"1 - 4","Paul Adler","TBA","TBA","Independent Study in Biology","",Open,0,20,0
12147,BIOL,7993,002,Independent Study,"1 - 4","Janis Antonovics","TBA","TBA","Independent Study in Biology","",Open,0,30,0
12148,BIOL,7993,003,Independent Study,"1 - 4","George Bloom","TBA","TBA","Independent Study in Biology","",Open,0,30,0
12149,BIOL,7993,004,Independent Study,"1 - 4","Edmund Brodie","TBA","TBA","Independent Study in Biology","",Open,0,30,0
12150,BIOL,7993,005,Independent Study,"1 - 4","Barry Condron","TBA","TBA","Independent Study in Biology","",Open,0,30,0
12151,BIOL,7993,006,Independent Study,"1 - 4","Robert Cox","TBA","TBA","Independent Study in Biology","",Open,0,30,0
12152,BIOL,7993,007,Independent Study,"1 - 4","Claire Cronmiller","TBA","TBA","Independent Study in Biology","",Open,0,30,0
12153,BIOL,7993,008,Independent Study,"1 - 4","Christopher Deppmann","TBA","TBA","Independent Study in Biology","",Open,0,30,0
12154,BIOL,7993,010,Independent Study,"1 - 4","Staff","TBA","TBA","Independent Study in Biology","",Open,0,30,0
12155,BIOL,7993,011,Independent Study,"1 - 4","Robert Grainger","TBA","TBA","Independent Study in Biology","",Open,0,30,0
12156,BIOL,7993,013,Independent Study,"1 - 4","Masashi Kawasaki","TBA","TBA","Independent Study in Biology","",Open,0,30,0
12157,BIOL,7993,014,Independent Study,"1 - 4","Raymond Keller","TBA","TBA","Independent Study in Biology","",Open,0,30,0
12158,BIOL,7993,015,Independent Study,"1 - 4","Mark Kopeny","TBA","TBA","Independent Study in Biology","",Open,0,30,0
12159,BIOL,7993,016,Independent Study,"1 - 4","Keith Kozminski","TBA","TBA","Independent Study in Biology","",Open,0,30,0
12160,BIOL,7993,018,Independent Study,"1 - 4","Sarah Kucenas","TBA","TBA","Independent Study in Biology","",Open,0,30,0
12161,BIOL,7993,020,Independent Study,"1 - 4","Deforest Mellon","TBA","TBA","Independent Study in Biology","",Open,0,30,0
12162,BIOL,7993,021,Independent Study,"1 - 4","Michael Menaker","TBA","TBA","Independent Study in Biology","",Open,0,30,0
12163,BIOL,7993,022,Independent Study,"1 - 4","Ignacio Provencio","TBA","TBA","Independent Study in Biology","",Open,0,30,0
12164,BIOL,7993,023,Independent Study,"1 - 4","Deborah Roach","TBA","TBA","Independent Study in Biology","",Open,0,30,0
12165,BIOL,7993,024,Independent Study,"1 - 4","Dorothy Schafer","TBA","TBA","Independent Study in Biology","",Open,0,30,0
12166,BIOL,7993,025,Independent Study,"1 - 4","Douglas Taylor","TBA","TBA","Independent Study in Biology","",Open,0,30,0
12167,BIOL,7993,026,Independent Study,"1 - 4","Michael Timko","TBA","TBA","Independent Study in Biology","",Open,0,30,0
12168,BIOL,7993,029,Independent Study,"1 - 4","W Wormington","TBA","TBA","Independent Study in Biology","",Open,0,30,0
13312,BIOL,7993,030,Independent Study,"1 - 4","Martin Wu","TBA","TBA","Independent Study in Biology","",Open,0,30,0
10817,BIOL,8070,001,Lecture,"2","Deborah Roach","Tu 3:30PM - 5:00PM","Contact Department","Colloquium in Population Biology","",Open,4,9,0
15300,BIOL,8082,001,Lecture,"2","Douglas Taylor","MoWe 12:00PM - 1:45PM","Contact Department","Advanced Ecology and Evolution 2","",Open,7,15,0
13494,BIOL,8250,001,Lecture,"1","Cristian Danna","Mo 10:00AM - 12:00PM","Contact Department","Communicating in Science","",Open,9,20,0
15713,BIOL,8260,001,Seminar,"2","Robert Grainger","MoWe 4:00PM - 6:00PM","Shannon House 108","Writing in Science: creating grant and research proposals","",Open,13,15,0
13375,BIOL,8870,001,Lecture,"1 - 2","Paul Adler","Mo 12:00PM - 1:00PM","Contact Department","Selected Topics in Developmental Genetics","",Open,0,20,0
10818,BIOL,8999,001,Independent Study,"1 - 12","Paul Adler","TBA","TBA","Non-Topical Research","",Open,0,50,0
11997,BIOL,8999,002,Independent Study,"1 - 12","Janis Antonovics","TBA","TBA","Non-Topical Research","",Open,0,50,0
11998,BIOL,8999,004,Independent Study,"1 - 12","George Bloom","TBA","TBA","Non-Topical Research","",Open,0,50,0
11999,BIOL,8999,005,Independent Study,"1 - 12","Edmund Brodie","TBA","TBA","Non-Topical Research","",Open,0,50,0
12000,BIOL,8999,006,Independent Study,"1 - 12","Barry Condron","TBA","TBA","Non-Topical Research","",Open,0,50,0
12001,BIOL,8999,007,Independent Study,"1 - 12","Robert Cox","TBA","TBA","Non-Topical Research","",Open,0,50,0
12002,BIOL,8999,008,Independent Study,"1 - 12","Claire Cronmiller","TBA","TBA","Non-Topical Research","",Open,0,50,0
12003,BIOL,8999,009,Independent Study,"1 - 12","Christopher Deppmann","TBA","TBA","Non-Topical Research","",Open,0,50,0
12004,BIOL,8999,011,Independent Study,"1 - 12","Laura Galloway","TBA","TBA","Non-Topical Research","",Open,0,50,0
12005,BIOL,8999,012,Independent Study,"1 - 12","Roberto Gomez","TBA","TBA","Non-Topical Research","",Open,0,50,0
12006,BIOL,8999,013,Independent Study,"1 - 12","Robert Grainger","TBA","TBA","Non-Topical Research","",Open,0,50,0
12007,BIOL,8999,015,Independent Study,"1 - 12","Jay Hirsh","TBA","TBA","Non-Topical Research","",Open,0,50,0
12008,BIOL,8999,016,Independent Study,"1 - 12","Masashi Kawasaki","TBA","TBA","Non-Topical Research","",Open,0,50,0
12009,BIOL,8999,017,Independent Study,"1 - 12","Raymond Keller","TBA","TBA","Non-Topical Research","",Open,0,50,0
12010,BIOL,8999,018,Independent Study,"1 - 12","Mark Kopeny","TBA","TBA","Non-Topical Research","",Open,0,50,0
12011,BIOL,8999,019,Independent Study,"1 - 12","Keith Kozminski","TBA","TBA","Non-Topical Research","",Open,0,50,0
12012,BIOL,8999,021,Independent Study,"1 - 12","Sarah Kucenas","TBA","TBA","Non-Topical Research","",Open,0,50,0
12013,BIOL,8999,023,Independent Study,"1 - 12","Deforest Mellon","TBA","TBA","Non-Topical Research","",Open,0,50,0
12014,BIOL,8999,024,Independent Study,"1 - 12","Michael Menaker","TBA","TBA","Non-Topical Research","",Open,0,50,0
12015,BIOL,8999,025,Independent Study,"1 - 12","Ignacio Provencio","TBA","TBA","Non-Topical Research","",Open,0,50,0
12016,BIOL,8999,026,Independent Study,"1 - 12","Deborah Roach","TBA","TBA","Non-Topical Research","",Open,0,50,0
12017,BIOL,8999,027,Independent Study,"1 - 12","Dorothy Schafer","TBA","TBA","Non-Topical Research","",Open,0,50,0
12018,BIOL,8999,028,Independent Study,"1 - 12","Douglas Taylor","TBA","TBA","Non-Topical Research","",Open,0,50,0
13150,BIOL,8999,032,Independent Study,"1 - 12","W Wormington","TBA","TBA","Non-Topical Research","",Open,0,50,0
13313,BIOL,8999,033,Independent Study,"1 - 12","Martin Wu","TBA","TBA","Non-Topical Research","",Open,0,50,0
10819,BIOL,9920,001,Independent Study,"3","Barry Condron","TBA","TBA","Rotation Research","",Open,7,30,0
11962,BIOL,9995,001,Independent Study,"1 - 12","Paul Adler","TBA","TBA","Topical Research in Biology","",Open,0,20,0
12065,BIOL,9995,002,Independent Study,"1 - 12","Janis Antonovics","TBA","TBA","Topical Research in Biology","",Open,0,20,0
12066,BIOL,9995,003,Independent Study,"1 - 12","George Bloom","TBA","TBA","Topical Research in Biology","",Open,0,20,0
12067,BIOL,9995,004,Independent Study,"1 - 12","Edmund Brodie","TBA","TBA","Topical Research in Biology","",Open,0,20,0
12068,BIOL,9995,005,Independent Study,"1 - 12","Barry Condron","TBA","TBA","Topical Research in Biology","",Open,0,20,0
12069,BIOL,9995,006,Independent Study,"1 - 12","Robert Cox","TBA","TBA","Topical Research in Biology","",Open,2,20,0
12070,BIOL,9995,007,Independent Study,"1 - 12","Claire Cronmiller","TBA","TBA","Topical Research in Biology","",Open,0,20,0
12071,BIOL,9995,008,Independent Study,"1 - 12","Christopher Deppmann","TBA","TBA","Topical Research in Biology","",Open,0,20,0
12072,BIOL,9995,010,Independent Study,"1 - 12","Laura Galloway","TBA","TBA","Topical Research in Biology","",Open,0,20,0
12073,BIOL,9995,011,Independent Study,"1 - 12","Roberto Gomez","TBA","TBA","Topical Research in Biology","",Open,0,20,0
12074,BIOL,9995,012,Independent Study,"1 - 12","Robert Grainger","TBA","TBA","Topical Research in Biology","",Open,0,20,0
12075,BIOL,9995,014,Independent Study,"1 - 12","Jay Hirsh","TBA","TBA","Topical Research in Biology","",Open,0,20,0
12076,BIOL,9995,015,Independent Study,"1 - 12","Masashi Kawasaki","TBA","TBA","Topical Research in Biology","",Open,0,20,0
12077,BIOL,9995,016,Independent Study,"1 - 12","Raymond Keller","TBA","TBA","Topical Research in Biology","",Open,0,20,0
12078,BIOL,9995,017,Independent Study,"1 - 12","Mark Kopeny","TBA","TBA","Topical Research in Biology","",Open,0,20,0
12079,BIOL,9995,018,Independent Study,"1 - 12","Keith Kozminski","TBA","TBA","Topical Research in Biology","",Open,0,20,0
12080,BIOL,9995,020,Independent Study,"1 - 12","Sarah Kucenas","TBA","TBA","Topical Research in Biology","",Open,0,20,0
12081,BIOL,9995,022,Independent Study,"1 - 12","Deforest Mellon","TBA","TBA","Topical Research in Biology","",Open,0,20,0
12082,BIOL,9995,023,Independent Study,"1 - 12","Michael Menaker","TBA","TBA","Topical Research in Biology","",Open,0,20,0
12083,BIOL,9995,024,Independent Study,"1 - 12","Ignacio Provencio","TBA","TBA","Topical Research in Biology","",Open,0,20,0
12084,BIOL,9995,025,Independent Study,"1 - 12","Deborah Roach","TBA","TBA","Topical Research in Biology","",Open,0,20,0
12085,BIOL,9995,026,Independent Study,"1 - 12","Dorothy Schafer","TBA","TBA","Topical Research in Biology","",Open,0,20,0
12086,BIOL,9995,027,Independent Study,"1 - 12","Douglas Taylor","TBA","TBA","Topical Research in Biology","",Open,0,20,0
12087,BIOL,9995,028,Independent Study,"1 - 12","Michael Timko","TBA","TBA","Topical Research in Biology","",Open,0,20,0
12421,BIOL,9995,031,Independent Study,"1 - 12","W Wormington","TBA","TBA","Topical Research in Biology","",Open,0,20,0
13314,BIOL,9995,032,Independent Study,"1 - 12","Martin Wu","TBA","TBA","Topical Research in Biology","",Open,0,20,0
10820,BIOL,9998,001,Independent Study,"1 - 12","Paul Adler","TBA","TBA","Non-Topical Research, Preparation for Doctoral Research","",Open,0,40,0
12019,BIOL,9998,002,Independent Study,"1 - 12","Janis Antonovics","TBA","TBA","Non-Topical Research, Preparation for Doctoral Research","",Open,0,40,0
12020,BIOL,9998,003,Independent Study,"1 - 12","George Bloom","TBA","TBA","Non-Topical Research, Preparation for Doctoral Research","",Open,1,40,0
12021,BIOL,9998,004,Independent Study,"1 - 12","Edmund Brodie","TBA","TBA","Non-Topical Research, Preparation for Doctoral Research","",Open,1,40,0
12022,BIOL,9998,005,Independent Study,"1 - 12","Barry Condron","TBA","TBA","Non-Topical Research, Preparation for Doctoral Research","",Open,0,40,0
12023,BIOL,9998,006,Independent Study,"1 - 12","Robert Cox","TBA","TBA","Non-Topical Research, Preparation for Doctoral Research","",Open,4,40,0
12024,BIOL,9998,007,Independent Study,"1 - 12","Claire Cronmiller","TBA","TBA","Non-Topical Research, Preparation for Doctoral Research","",Open,0,40,0
12025,BIOL,9998,008,Independent Study,"1 - 12","Christopher Deppmann","TBA","TBA","Non-Topical Research, Preparation for Doctoral Research","",Open,1,40,0
12026,BIOL,9998,010,Independent Study,"1 - 12","Laura Galloway","TBA","TBA","Non-Topical Research, Preparation for Doctoral Research","",Open,1,40,0
12027,BIOL,9998,011,Independent Study,"1 - 12","Robert Grainger","TBA","TBA","Non-Topical Research, Preparation for Doctoral Research","",Open,0,40,0
12028,BIOL,9998,013,Independent Study,"1 - 12","Jay Hirsh","TBA","TBA","Non-Topical Research, Preparation for Doctoral Research","",Open,0,40,0
12029,BIOL,9998,014,Independent Study,"1 - 12","Masashi Kawasaki","TBA","TBA","Non-Topical Research, Preparation for Doctoral Research","",Open,0,40,0
12030,BIOL,9998,015,Independent Study,"1 - 12","Raymond Keller","TBA","TBA","Non-Topical Research, Preparation for Doctoral Research","",Open,0,40,0
12031,BIOL,9998,016,Independent Study,"1 - 12","Mark Kopeny","TBA","TBA","Non-Topical Research, Preparation for Doctoral Research","",Open,0,40,0
12032,BIOL,9998,017,Independent Study,"1 - 12","Keith Kozminski","TBA","TBA","Non-Topical Research, Preparation for Doctoral Research","",Open,1,40,0
12033,BIOL,9998,019,Independent Study,"1 - 12","Sarah Kucenas","TBA","TBA","Non-Topical Research, Preparation for Doctoral Research","",Open,1,40,0
12034,BIOL,9998,021,Independent Study,"1 - 12","Deforest Mellon","TBA","TBA","Non-Topical Research, Preparation for Doctoral Research","",Open,0,40,0
12035,BIOL,9998,022,Independent Study,"1 - 12","Michael Menaker","TBA","TBA","Non-Topical Research, Preparation for Doctoral Research","",Open,0,40,0
12036,BIOL,9998,023,Independent Study,"1 - 12","Ignacio Provencio","TBA","TBA","Non-Topical Research, Preparation for Doctoral Research","",Open,0,40,0
12037,BIOL,9998,024,Independent Study,"1 - 12","Deborah Roach","TBA","TBA","Non-Topical Research, Preparation for Doctoral Research","",Open,1,40,0
12038,BIOL,9998,025,Independent Study,"1 - 12","Dorothy Schafer","TBA","TBA","Non-Topical Research, Preparation for Doctoral Research","",Open,0,40,0
12039,BIOL,9998,026,Independent Study,"1 - 12","Douglas Taylor","TBA","TBA","Non-Topical Research, Preparation for Doctoral Research","",Open,0,40,0
12040,BIOL,9998,027,Independent Study,"1 - 12","Michael Timko","TBA","TBA","Non-Topical Research, Preparation for Doctoral Research","",Open,0,40,0
12041,BIOL,9998,030,Independent Study,"1 - 12","W Wormington","TBA","TBA","Non-Topical Research, Preparation for Doctoral Research","",Open,0,40,0
13315,BIOL,9998,031,Independent Study,"1 - 12","Martin Wu","TBA","TBA","Non-Topical Research, Preparation for Doctoral Research","",Open,0,40,0
21977,BIOL,9998,032,Independent Study,"1 - 12","Jennifer Guler","TBA","TBA","Non-Topical Research, Preparation for Doctoral Research","",Open,1,40,0
22316,BIOL,9998,033,Independent Study,"1 - 12","Eyleen O'Rourke","TBA","TBA","Non-Topical Research, Preparation for Doctoral Research","",Open,1,40,0
10821,BIOL,9999,001,Independent Study,"1 - 12","Paul Adler","TBA","TBA","Non-Topical Research","",Open,0,50,0
12042,BIOL,9999,002,Independent Study,"1 - 12","Janis Antonovics","TBA","TBA","Non-Topical Research","",Open,0,50,0
12043,BIOL,9999,004,Independent Study,"1 - 12","George Bloom","TBA","TBA","Non-Topical Research","",Open,2,50,0
12044,BIOL,9999,005,Independent Study,"1 - 12","Edmund Brodie","TBA","TBA","Non-Topical Research","",Open,3,50,0
12045,BIOL,9999,006,Independent Study,"1 - 12","Barry Condron","TBA","TBA","Non-Topical Research","",Open,1,50,0
12046,BIOL,9999,007,Independent Study,"1 - 12","Robert Cox","TBA","TBA","Non-Topical Research","",Open,1,50,0
12047,BIOL,9999,008,Independent Study,"1 - 12","Claire Cronmiller","TBA","TBA","Non-Topical Research","",Open,0,50,0
12048,BIOL,9999,009,Independent Study,"1 - 12","Christopher Deppmann","TBA","TBA","Non-Topical Research","",Open,1,50,0
12049,BIOL,9999,011,Independent Study,"1 - 12","Laura Galloway","TBA","TBA","Non-Topical Research","",Open,2,50,0
12050,BIOL,9999,012,Independent Study,"1 - 12","Roberto Gomez","TBA","TBA","Non-Topical Research","",Open,1,50,0
12051,BIOL,9999,013,Independent Study,"1 - 12","Robert Grainger","TBA","TBA","Non-Topical Research","",Open,1,50,0
12052,BIOL,9999,015,Independent Study,"1 - 12","Jay Hirsh","TBA","TBA","Non-Topical Research","",Open,2,50,0
12053,BIOL,9999,016,Independent Study,"1 - 12","Masashi Kawasaki","TBA","TBA","Non-Topical Research","",Open,1,50,0
12054,BIOL,9999,017,Independent Study,"1 - 12","Raymond Keller","TBA","TBA","Non-Topical Research","",Open,1,50,0
12055,BIOL,9999,018,Independent Study,"1 - 12","Mark Kopeny","TBA","TBA","Non-Topical Research","",Open,0,50,0
12056,BIOL,9999,019,Independent Study,"1 - 12","Keith Kozminski","TBA","TBA","Non-Topical Research","",Open,0,50,0
13343,BIOL,9999,020,Independent Study,"1 - 12","Sarah Kucenas","TBA","TBA","Non-Topical Research","",Open,2,50,0
12057,BIOL,9999,021,Independent Study,"1 - 12","Manuel Lerdau","TBA","TBA","Non-Topical Research","",Open,0,50,0
12058,BIOL,9999,023,Independent Study,"1 - 12","Deforest Mellon","TBA","TBA","Non-Topical Research","",Open,0,50,0
12059,BIOL,9999,024,Independent Study,"1 - 12","Michael Menaker","TBA","TBA","Non-Topical Research","",Open,0,50,0
12060,BIOL,9999,025,Independent Study,"1 - 12","Ignacio Provencio","TBA","TBA","Non-Topical Research","",Open,0,50,0
12061,BIOL,9999,026,Independent Study,"1 - 12","Deborah Roach","TBA","TBA","Non-Topical Research","",Open,0,50,0
12062,BIOL,9999,027,Independent Study,"1 - 12","Dorothy Schafer","TBA","TBA","Non-Topical Research","",Open,1,50,0
12063,BIOL,9999,028,Independent Study,"1 - 12","Douglas Taylor","TBA","TBA","Non-Topical Research","",Open,0,50,0
12064,BIOL,9999,029,Independent Study,"1 - 12","Michael Timko","TBA","TBA","Non-Topical Research","",Open,1,50,0
12142,BIOL,9999,030,Independent Study,"1 - 12","W Wormington","TBA","TBA","Non-Topical Research","",Open,0,50,0
12968,BIOL,9999,031,Independent Study,"1 - 12","Martin Wu","TBA","TBA","Non-Topical Research","",Open,1,50,0
13755,BIOL,9999,032,Independent Study,"1 - 12","Sarah Siegrist","TBA","TBA","Non-Topical Research","",Open,3,50,0
14250,BIOL,9999,033,Independent Study,"1 - 12","Ali Guler","TBA","TBA","Non-Topical Research","",Open,4,50,0
14251,BIOL,9999,034,Independent Study,"1 - 12","Jennifer Guler","TBA","TBA","Non-Topical Research","",Open,2,50,0
14255,BIOL,9999,035,Independent Study,"1 - 12","Eyleen O'Rourke","TBA","TBA","Non-Topical Research","",Open,2,50,0
14256,BIOL,9999,036,Independent Study,"1 - 12","Staff","TBA","TBA","Non-Topical Research","",Open,0,50,0
14257,BIOL,9999,037,Independent Study,"1 - 12","Cristian Danna","TBA","TBA","Non-Topical Research","",Open,4,50,0
14796,BIOL,9999,038,Independent Study,"1 - 12","Alan Bergland","TBA","TBA","Non-Topical Research","",Open,3,50,0
22271,BIOL,9999,039,Independent Study,"1 - 12","David Parichy","TBA","TBA","Non-Topical Research","",Open,1,50,0
21206,BIOP,5050,1,Lecture,"1","Robert Nakamoto","Fr 12:00PM - 12:50PM","TBA","Biophysical Literature","",Open,7,30,0
21207,BIOP,7051,1,Independent Study,"1 - 5","Jochen Zimmer","We 9:00AM - 11:00AM","TBA","Directed Reading","",Open,0,20,0
21208,BIOP,7051,2,Independent Study,"1 - 5","Robert Nakamoto","TBA","TBA","Directed Reading","",Open,2,30,0
21430,BIOP,8010,1,Lecture,"1","Staff","TBA","TBA","Special Topics in Biophysics","",Open,0,30,0
21431,BIOP,8020,1,Lecture,"2","Staff","TBA","TBA","Macromolecular Crystallography I","",Open,0,20,0
21432,BIOP,8021,1,Lecture,"2","Staff","TBA","TBA","Macromolecular Crystallography II","",Open,0,20,0
21433,BIOP,8040,1,Lecture,"2","Staff","TBA","TBA","BiomolecElectron Microscopy I","",Open,0,20,0
21434,BIOP,8042,1,Lecture,"2","Staff","TBA","TBA","Biomolecular Electron Microscopy II","",Open,0,20,0
21209,BIOP,8201,1,Lecture,"2","Peter Kasson","MoWeFr 10:00AM - 11:00AM","TBA","Biophysical Principles I","",Open,0,20,0
21210,BIOP,8301,1,Lecture,"2","Peter Kasson","MoWeFr 10:00AM - 11:00AM","TBA","Biophysical Principles II","",Open,0,20,0
21211,BIOP,9995,1,Independent Study,"3 - 12","Lukas Tamm","TBA","TBA","Biophysics Research","",Open,1,20,0
21810,BIOP,9995,2,Independent Study,"3 - 12","Huiwang Ai","TBA","TBA","Biophysics Research","",Open,2,30,0
21212,BIOP,9999,1,Independent Study,"1 - 12","Zygmunt Derewenda","TBA","TBA","Non-Topical Research","",Open,0,30,0
